"Is.Non.Annual.","Days","Tuition","School.Type","Parent.Meeting.Flag","MDR.High.Grade","Income.Level","School.Sponsor","SPR.New.Existing","NumberOfMeetingswithParents","DifferenceTraveltoLastMeeting","SchoolGradeTypeHigh","FPP.to.School.enrollment","FPP.to.PAX","SchoolSizeIndicator","Retained.in.2012.","frp.active","cancellation","cancelled.PAX","fpp","trend"
0,4,1204,"CHD",1,8,"P",1,"EXISTING",1,214,"Middle",0.054794521,0.947826087,"",1,0.623853211009174,0.220588235294118,0.100917431192661,"large","0"
0,4,1276,"PUBLIC",1,5,"E",0,"EXISTING",1,236,"Elementary",0.091111111,0.931818182,"S-M",1,0.731707317073171,0.2,0.195121951219512,"large","1"
0,4,1474,"PUBLIC",1,5,"Q",0,"NEW",1,217,"Undefined",0.008183306,0.833333333,"M-L",0,0.8,0.5,0.4,"small","0"
0,5,1666,"PUBLIC",1,8,"B",0,"EXISTING",1,224,"Middle",0.082857143,0.878787879,"M-L",1,0.758620689655172,0.0909090909090909,0.103448275862069,"large","0"
0,5,1694,"Private non-Christian",1,12,"L",0,"EXISTING",1,211,"Middle",0.112781955,0.952380952,"S-M",1,0.683333333333333,0.0731707317073171,0.0666666666666667,"large","0"
1,5,2078,"Catholic",1,8,"L",0,"EXISTING",2,245,"Middle",0.223529412,0.95,"S",0,0.421052631578947,0.1875,0.157894736842105,"large","0"
0,5,790,"PUBLIC",1,8,"J",0,"EXISTING",1,244,"Middle",0.205970149,0.896103896,"S",1,0.434782608695652,0.0666666666666667,0.0579710144927536,"large","0"
0,5,2164,"Catholic",1,8,"I",0,"EXISTING",2,196,"Middle",0.031578947,0.857142857,"S-M",0,0.666666666666667,1.25,1.16666666666667,"critical","1"
0,5,1263,"CHD",1,12,"G",0,"EXISTING",1,259,"Middle",0.034545455,0.926829268,"L",1,0.447368421052632,0.235294117647059,0.157894736842105,"large","0"
1,5,712,"PUBLIC",1,8,"P",0,"EXISTING",2,236,"Middle",0.063511831,0.927272727,"M-L",1,0.549019607843137,0.0714285714285714,0.0784313725490196,"large","0"
0,5,765,"PUBLIC",1,8,"C",0,"EXISTING",2,259,"Middle",0.116923077,0.915662651,"M-L",1,0.526315789473684,0.025,0,"large","0"
0,5,1810,"Private non-Christian",1,8,"Q",0,"EXISTING",1,210,"Middle",1.44,0.9,"S",1,0.222222222222222,0.25,0.0555555555555556,"large","0"
0,7,2329,"PUBLIC",1,8,"N",0,"EXISTING",2,250,"Middle",0.115942029,0.923076923,"S",1,0.5,0.583333333333333,0.208333333333333,"safe","0"
0,2,725,"Private non-Christian",0,6,"M",1,"EXISTING",0,276,"Elementary",0.238095238,0.892857143,"S",1,0.6,0,0.08,"safe","0"
0,3,1106,"PUBLIC",1,8,"I",0,"EXISTING",2,230,"Middle",0.049473684,0.903846154,"L",1,0.659574468085106,0.161290322580645,0.127659574468085,"large","0"
1,3,756,"CHD",1,6,"P",1,"EXISTING",1,223,"Elementary",0.186868687,0.973684211,"S",0,0.243243243243243,0,0,"large","0"
0,5,846,"PUBLIC",1,8,"I",0,"EXISTING",1,218,"Middle",0.050684932,0.902439024,"M-L",1,0.351351351351351,0,0.108108108108108,"large","0"
0,5,846,"PUBLIC",0,8,"L",0,"EXISTING",0,250,"Middle",0.024442083,0.92,"L",1,0.521739130434783,0.166666666666667,0.0869565217391304,"safe","0"
0,8,2630,"Private non-Christian",0,6,"P",1,"EXISTING",0,221,"Middle",0.102857143,0.9,"S-M",1,0,NA,0,"large","0"
0,5,1719,"Catholic",1,8,"Z",1,"EXISTING",1,247,"Middle",0.085714286,0.913043478,"S",1,0.666666666666667,0.214285714285714,0.142857142857143,"safe","0"
0,5,1806,"PUBLIC",1,8,"P",0,"EXISTING",2,253,"Middle",0.079925651,0.914893617,"S-M",1,0.534883720930233,0.478260869565217,0.302325581395349,"large","0"
1,6,2630,"CHD",1,8,"O",0,"NEW",1,247,"Middle",0.169642857,0.863636364,"S",0,0.578947368421053,0.272727272727273,0.105263157894737,"critical","0"
0,1,168,"PUBLIC",0,12,"H",1,"EXISTING",0,219,"Undefined",0.014347826,0.942857143,"L",0,0.212121212121212,0.285714285714286,0.0606060606060606,"safe","1"
0,1,435,"Catholic",0,8,"O",1,"EXISTING",0,170,"Elementary",0.12369338,0.946666667,"S-M",1,0.605633802816901,0.0465116279069767,0.0422535211267606,"large","0"
0,1,393,"CHD",1,6,"N",1,"EXISTING",1,247,"Elementary",0.2,0.972972973,"S",1,0,NA,0.0833333333333333,"large","0"
0,1,399,"PUBLIC",0,6,"D",1,"EXISTING",0,238,"Elementary",0.105,0.941176471,"",1,0.125,0,0,"critical","0"
0,1,428,"PUBLIC",0,5,"Q",1,"EXISTING",0,425,"Elementary",0.016620499,0.923076923,"M-L",0,0.75,0,0,"critical","0"
0,2,443,"Private non-Christian",0,8,"Q",1,"EXISTING",0,247,"Elementary",0.12,0.96,"S-M",1,0,NA,0.0208333333333333,"large","0"
0,3,1557,"Private non-Christian",1,8,"M",1,"EXISTING",2,199,"Middle",0.099547511,0.916666667,"S-M",1,0.795454545454545,0.2,0.159090909090909,"large","0"
0,3,1149,"CHD",1,12,"K",0,"EXISTING",1,143,"Middle",0.025438596,0.935483871,"L",1,0.827586206896552,0.0833333333333333,0.103448275862069,"safe","0"
1,3,746,"PUBLIC",1,8,"I",0,"EXISTING",1,203,"Middle",0.023897059,0.8125,"S-M",1,0.615384615384615,0.25,0.153846153846154,"critical","0"
0,3,1259,"PUBLIC",1,8,"M",0,"EXISTING",2,211,"Middle",0.014196983,0.888888889,"L",1,0.625,0.1,0.25,"critical","0"
0,4,1614,"PUBLIC",1,8,"L",0,"EXISTING",2,227,"Middle",0.052560647,0.886363636,"M-L",1,0.743589743589744,0.0344827586206897,0.0512820512820513,"large","0"
0,4,1499,"PUBLIC",1,8,"P",0,"EXISTING",1,224,"Middle",0.021126761,0.9,"L",1,0.296296296296296,0.625,0.222222222222222,"safe","0"
0,4,1422,"PUBLIC",1,8,"N",0,"EXISTING",1,219,"Undefined",0.07257384,0.934782609,"L",1,0.616279069767442,0.169811320754717,0.13953488372093,"large","0"
0,4,620,"PUBLIC",1,8,"P",0,"EXISTING",2,232,"Middle",0.031,0.939393939,"L",1,0.483870967741935,0.2,0.0967741935483871,"safe","0"
0,4,1499,"PUBLIC",1,8,"P",0,"EXISTING",1,224,"Middle",0.01266464,0.925925926,"L",1,0.52,0.0769230769230769,0.04,"safe","0"
0,4,1478,"Catholic",1,8,"P",0,"EXISTING",2,226,"Middle",0.0175,0.875,"S-M",1,0.571428571428571,0.25,0.142857142857143,"small","0"
0,4,1672,"PUBLIC",1,8,"B",0,"NEW",1,219,"Middle",0.01627907,0.777777778,"S-M",0,0.714285714285714,0,0.285714285714286,"small","0"
0,1,156,"CHD",1,8,"O",1,"EXISTING",1,228,"Elementary",0.197781885,0.972727273,"S-M",1,0,NA,0.0186915887850467,"large","0"
0,4,1368,"PUBLIC",0,8,"K",0,"NEW",0,245,"Middle",0.042918455,0.909090909,"L",1,0.68,0.205882352941176,0.18,"large","0"
0,1,143,"PUBLIC",0,6,"Q",1,"EXISTING",0,249,"Elementary",0.056994819,0.970588235,"M-L",1,0.212121212121212,0,0.0303030303030303,"safe","0"
1,1,417,"Private non-Christian",1,6,"Q",1,"NEW",1,206,"Elementary",0.470588235,0.975609756,"S",0,0.425,0.0588235294117647,0.125,"large","1"
0,4,1299,"PUBLIC",1,8,"L",0,"NEW",1,212,"Middle",0.025519849,0.931034483,"L",1,0.666666666666667,0.388888888888889,0.703703703703704,"safe","0"
0,4,1299,"PUBLIC",1,8,"L",0,"NEW",2,24,"Middle",0.037305699,0.87804878,"L",1,0.694444444444444,0.16,0.194444444444444,"large","0"
0,4,1444,"PUBLIC",1,8,"Q",0,"EXISTING",1,234,"Middle",0.192592593,0.886363636,"S-M",1,0.615384615384615,0.125,0.179487179487179,"large","1"
0,3,849,"PUBLIC",1,5,"F",0,"NEW",1,234,"Elementary",0.089108911,0.931034483,"S",1,0.444444444444444,0.416666666666667,0.111111111111111,"safe","0"
0,3,849,"PUBLIC",0,5,"F",0,"NEW",0,245,"Elementary",0.061583578,0.913043478,"S-M",1,0.285714285714286,0.333333333333333,0.0952380952380952,"safe","0"
0,3,849,"PUBLIC",1,5,"F",0,"NEW",1,227,"Elementary",0.056426332,0.9,"S",1,0.444444444444444,0.125,0.222222222222222,"critical","0"
0,7,1930,"PUBLIC",1,8,"Q",1,"EXISTING",1,233,"Middle",0.270967742,0.865979381,"S",1,0.607142857142857,0.156862745098039,0.107142857142857,"large","0"
0,1,395,"PUBLIC",0,5,"Q",1,"EXISTING",0,264,"Elementary",0.060606061,0.967741935,"S-M",0,0.633333333333333,0.210526315789474,0.2,"safe","0"
1,4,1299,"CHD",1,12,"Q",0,"NEW",2,178,"High",0.019911504,0.9,"S-M",0,0.666666666666667,0.333333333333333,0.222222222222222,"small","0"
0,1,395,"PUBLIC",0,5,"Q",1,"EXISTING",0,261,"Elementary",0.043396226,0.958333333,"S-M",0,0.391304347826087,0,0,"safe","0"
0,3,927,"PUBLIC",1,8,"H",0,"EXISTING",1,227,"Middle",0.055405405,0.911111111,"M-L",1,0.560975609756098,0.217391304347826,0.146341463414634,"large","0"
0,5,2303,"PUBLIC",1,8,"K",0,"EXISTING",2,241,"Middle",0.020188425,0.882352941,"M-L",1,0.4,0.166666666666667,0.0666666666666667,"critical","0"
0,5,2100,"PUBLIC",1,8,"L",0,"EXISTING",1,226,"Middle",0.152173913,0.933333333,"S",1,0.857142857142857,0,0.0714285714285714,"critical","0"
0,7,2754,"Catholic",0,8,"M",0,"EXISTING",0,279,"Middle",0.14,0.945945946,"S",1,0.542857142857143,0.0526315789473684,0.0285714285714286,"safe","0"
1,5,1876,"PUBLIC",1,6,"J",0,"NEW",2,229,"Elementary",0.052054795,0.904761905,"S-M",0,0,Inf,0.105263157894737,"critical","0"
1,6,1827,"PUBLIC",1,6,"P",0,"EXISTING",1,242,"Undefined",0.101785714,0.919354839,"S-M",0,0,NA,0.105263157894737,"large","0"
0,6,2260,"Private non-Christian",1,12,"J",1,"EXISTING",1,215,"Middle",0.027142857,0.863636364,"M-L",1,0.526315789473684,0,0,"critical","1"
0,6,2260,"Private non-Christian",1,12,"J",1,"EXISTING",1,240,"Middle",0.07,0.907407407,"M-L",1,0.63265306122449,0,0,"large","1"
0,6,1164,"PUBLIC",1,8,"K",0,"EXISTING",2,248,"Middle",0.050595238,0.918918919,"M-L",1,0.852941176470588,0.241379310344828,0.323529411764706,"safe","0"
1,5,1620,"PUBLIC",1,8,"M",0,"EXISTING",1,162,"Middle",0.057142857,0.952380952,"M-L",0,0.575,0.130434782608696,0.05,"large","0"
0,2,249,"PUBLIC",1,8,"P",0,"NEW",1,145,"Undefined",0.071672355,0.875,"M-L",1,0.404761904761905,0.176470588235294,0.0238095238095238,"large","0"
1,4,1430,"PUBLIC",1,12,"G",1,"EXISTING",1,236,"Middle",0.286363636,0.913043478,"S",0,0.619047619047619,0.282051282051282,0.301587301587302,"large","0"
0,4,1445,"CHD",1,12,"D",0,"EXISTING",1,250,"Middle",0.019178082,0.875,"S-M",1,0.857142857142857,0,0,"small","1"
1,5,2225,"CHD",1,8,"",1,"EXISTING",2,-17,"Middle",0.099537037,0.9125,"",1,0.767123287671233,0.160714285714286,0.123287671232877,"large","0"
0,5,2123,"Private non-Christian",1,8,"P",0,"EXISTING",1,215,"Middle",0.0375,0.923076923,"S",1,1,0.0833333333333333,0.166666666666667,"critical","0"
1,5,1648,"PUBLIC",1,6,"N",0,"EXISTING",2,228,"Middle",0.076791809,0.9375,"M-L",0,0.666666666666667,0.166666666666667,0.0666666666666667,"large","0"
0,5,2038,"Catholic",1,8,"O",0,"EXISTING",1,243,"Middle",0.099616858,0.928571429,"S",0,0.538461538461538,0.0714285714285714,0,"safe","0"
0,5,1704,"PUBLIC",1,8,"D",0,"EXISTING",1,251,"Middle",0.112244898,0.862745098,"S-M",1,0,NA,0.0227272727272727,"large","0"
0,5,797,"CHD",0,8,"H",1,"EXISTING",0,265,"Middle",0.127478754,0.918367347,"S-M",1,0,NA,0,"large","0"
0,5,1999,"Catholic",1,8,"Q",0,"EXISTING",1,245,"Middle",0.145833333,0.945945946,"S",1,0.742857142857143,0.0384615384615385,0,"safe","0"
0,5,1849,"PUBLIC",1,8,"E",0,"EXISTING",2,190,"Middle",0.01572327,0.862068966,"L",1,0.52,0.692307692307692,0.4,"safe","0"
0,5,781,"PUBLIC",1,8,"Z",1,"NEW",1,236,"Middle",0.165,0.891891892,"S-M",1,0.333333333333333,0.181818181818182,0.181818181818182,"large","0"
0,4,1407,"Private non-Christian",1,12,"P",0,"EXISTING",1,248,"Middle",0.080798479,0.923913043,"L",1,0,NA,0.105882352941176,"large","0"
0,5,2249,"Private non-Christian",0,8,"Z",0,"EXISTING",0,266,"Middle",0.075555556,0.894736842,"S",1,0.882352941176471,0.2,0.117647058823529,"critical","0"
1,5,1849,"PUBLIC",1,6,"J",0,"NEW",1,258,"Middle",0.090909091,0.916666667,"S-M",0,0.568181818181818,0.32,0.386363636363636,"large","0"
0,5,1958,"CHD",1,8,"Q",0,"EXISTING",1,243,"Middle",0.157088123,0.953488372,"S",1,0.585365853658537,0.0833333333333333,0.0975609756097561,"large","0"
0,5,2395,"PUBLIC",1,8,"G",0,"EXISTING",2,249,"Middle",0.017708333,0.894736842,"L",1,0.352941176470588,0,0.0588235294117647,"critical","0"
1,5,2341,"PUBLIC",1,8,"O",0,"EXISTING",1,214,"Middle",0.003848621,0.857142857,"L",0,0.5,1.33333333333333,1,"small","0"
0,4,460,"PUBLIC",1,8,"H",0,"NEW",1,193,"Middle",0.053675613,0.901960784,"L",0,0.391304347826087,0.0555555555555556,0.0434782608695652,"large","0"
0,6,644,"PUBLIC",1,8,"N",1,"EXISTING",1,243,"Middle",0.286,0.913738019,"L",1,0.377622377622378,0.185185185185185,0.115384615384615,"large","0"
0,6,2206,"Private non-Christian",1,12,"M",1,"EXISTING",1,242,"Elementary",0.0802213,0.935483871,"M-L",1,0.655172413793103,0.0526315789473684,0.0517241379310345,"large","0"
0,4,999,"CHD",1,12,"O",1,"EXISTING",1,151,"Middle",0.111260054,0.954022989,"M-L",1,0.566265060240964,0.0212765957446809,0.0120481927710843,"large","0"
0,4,1217,"Private non-Christian",1,12,"G",0,"EXISTING",1,199,"Middle",0.026923077,0.954545455,"M-L",1,0.619047619047619,0.0769230769230769,0.0476190476190476,"safe","0"
0,6,2152,"Private non-Christian",1,8,"P",0,"EXISTING",1,242,"Middle",0.080645161,0.925925926,"S",1,0.52,0.0769230769230769,0.04,"safe","0"
0,6,1999,"Private non-Christian",1,12,"O",0,"EXISTING",1,242,"Middle",0.101818182,0.875,"S",1,0.678571428571429,0.0526315789473684,0,"safe","0"
0,1,386,"PUBLIC",0,5,"Q",1,"EXISTING",0,214,"Elementary",0.121875,0.962962963,"M-L",1,0.230769230769231,0.0555555555555556,0.0384615384615385,"large","0"
0,3,1048,"Catholic",0,8,"M",1,"EXISTING",0,203,"Middle",0.106169297,0.925,"M-L",1,0.540540540540541,0.025,0.0135135135135135,"large","0"
0,3,787,"CHD",1,8,"Q",1,"EXISTING",1,230,"Elementary",0.144,0.972972973,"S-M",1,0.472222222222222,0.205882352941176,0.111111111111111,"large","0"
0,4,807,"PUBLIC",1,8,"O",0,"EXISTING",1,190,"Middle",0.174193548,0.939130435,"M-L",1,0.25,0.0740740740740741,0.0185185185185185,"large","1"
0,4,1388,"Catholic",1,8,"H",0,"EXISTING",1,251,"Undefined",0.178571429,0.925925926,"S",1,0.96,0,0,"safe","0"
0,4,1299,"PUBLIC",1,8,"M",0,"EXISTING",2,245,"Middle",0.048327138,0.928571429,"S-M",1,0.615384615384615,0.0625,0.0384615384615385,"safe","0"
0,4,799,"PUBLIC",1,8,"Q",0,"EXISTING",1,217,"Middle",0.311450382,0.812749004,"M-L",1,0.406862745098039,0.0843373493975904,0.0882352941176471,"large","0"
0,4,793,"CHD",1,6,"I",0,"EXISTING",1,230,"Undefined",0.102689487,0.954545455,"S-M",0,0.595238095238095,0.04,0.0476190476190476,"large","0"
1,6,1844,"CHD",1,8,"A",0,"EXISTING",1,190,"Middle",0.114130435,0.913043478,"S",0,0.428571428571429,0.222222222222222,0.0952380952380952,"safe","0"
0,4,792,"CHD",1,6,"I",0,"EXISTING",1,230,"Middle",0.102689487,0.954545455,"S-M",0,0.642857142857143,0.111111111111111,0.0952380952380952,"large","0"
0,4,759,"PUBLIC",1,12,"H",1,"EXISTING",1,251,"Middle",0.154,0.916666667,"S-M",1,0.61038961038961,0.0425531914893617,0.025974025974026,"large","0"
0,4,958,"Private non-Christian",1,7,"P",1,"EXISTING",1,224,"Elementary",0.104109589,0.926829268,"S-M",1,0.578947368421053,0.363636363636364,0.210526315789474,"large","0"
1,4,1111,"CHD",1,8,"I",1,"EXISTING",2,253,"Middle",0.12,0.96,"S",0,0.458333333333333,0,0.0416666666666667,"safe","0"
0,4,1549,"PUBLIC",1,8,"N",0,"EXISTING",1,207,"Undefined",0.045009785,0.92,"S-M",0,0.652173913043478,0.0666666666666667,0.0434782608695652,"safe","0"
0,5,727,"PUBLIC",1,12,"K",0,"EXISTING",2,230,"Undefined",0.125714286,0.936170213,"S-M",1,0.454545454545455,0,0,"large","0"
1,3,588,"Private non-Christian",1,12,"P",0,"NEW",1,229,"Undefined",0.2,0.87804878,"S",1,0.416666666666667,0.266666666666667,0.194444444444444,"large","1"
0,4,756,"CHD",0,12,"L",0,"NEW",0,271,"Middle",0.04,0.875,"M-L",0,0.642857142857143,0.444444444444444,0.607142857142857,"safe","0"
0,5,949,"PUBLIC",1,8,"C",0,"EXISTING",2,258,"Middle",0.033070866,0.913043478,"M-L",0,0.333333333333333,0.428571428571429,0.238095238095238,"safe","0"
0,1,386,"PUBLIC",0,5,"Q",1,"EXISTING",0,187,"Elementary",0.175,0.965517241,"M-L",1,0.169642857142857,0.157894736842105,0,"large","0"
0,4,1047,"PUBLIC",1,8,"G",0,"EXISTING",2,192,"Middle",0.048684211,0.902439024,"M-L",1,0.567567567567568,0.0952380952380952,0.027027027027027,"large","0"
0,2,612,"Private non-Christian",1,6,"Q",1,"EXISTING",1,191,"Elementary",0.182142857,0.962264151,"S",1,0.549019607843137,0,0,"large","0"
0,2,566,"CHD",0,8,"Q",1,"EXISTING",0,271,"Elementary",0.211111111,0.95,"S",1,0.614035087719298,0.0857142857142857,0.105263157894737,"large","0"
1,3,1270,"PUBLIC",0,12,"E",0,"EXISTING",0,278,"Middle",0.230769231,0.9375,"S",0,0,NA,0,"critical","0"
0,3,551,"Catholic",0,8,"G",0,"EXISTING",0,185,"Middle",0.105,0.893617021,"S-M",1,0,NA,0.0714285714285714,"large","0"
0,3,646,"CHD",1,12,"I",0,"EXISTING",1,268,"Middle",0.035,0.897435897,"L",0,0.285714285714286,0.4,0.142857142857143,"safe","1"
0,4,1519,"CHD",0,8,"C",0,"EXISTING",0,264,"Middle",0.101769912,0.958333333,"S",1,0.739130434782609,0.176470588235294,0.130434782608696,"safe","0"
0,4,668,"PUBLIC",1,8,"J",0,"EXISTING",1,237,"Middle",0.104444444,0.921568627,"S-M",1,0.212765957446809,0,0.0851063829787234,"large","0"
0,5,459,"PUBLIC",1,8,"G",0,"NEW",1,239,"Middle",0.088571429,0.939393939,"M-L",1,0.774193548387097,0.229166666666667,0.258064516129032,"large","0"
1,6,1001,"PUBLIC",1,12,"D",0,"EXISTING",2,230,"Middle",0.042580645,0.916666667,"M-L",0,0.787878787878788,0.346153846153846,0.272727272727273,"safe","0"
0,1,349,"PUBLIC",1,6,"Q",1,"EXISTING",1,225,"Elementary",0.208955224,0.976744186,"M-L",1,0.198412698412698,0.28,0.0396825396825397,"large","0"
0,7,2277,"CHD",1,8,"H",1,"EXISTING",1,170,"Middle",0.103030303,0.944444444,"S",1,0.647058823529412,0.0909090909090909,0.0588235294117647,"critical","0"
0,1,429,"Private non-Christian",1,8,"I",1,"EXISTING",1,247,"Elementary",0.10952381,0.901960784,"S-M",1,0,NA,0,"large","0"
0,2,635,"CHD",1,8,"P",1,"EXISTING",1,252,"Elementary",0.036170213,0.944444444,"S-M",1,0.352941176470588,0,0,"critical","0"
0,2,599,"CHD",1,8,"J",1,"EXISTING",1,231,"Elementary",0.053333333,0.888888889,"S",1,0.125,0,0.0625,"critical","0"
0,2,622,"Private non-Christian",1,8,"P",1,"EXISTING",1,240,"Elementary",0.151515152,0.961538462,"S",1,0.6,0,0,"safe","0"
1,2,589,"CHD",1,8,"M",1,"EXISTING",2,219,"Elementary",0.109090909,0.9,"S",0,0.166666666666667,0,0.166666666666667,"critical","0"
0,2,555,"CHD",1,8,"P",1,"NEW",2,240,"Elementary",0.049462366,0.958333333,"S-M",1,0.347826086956522,0.125,0.0434782608695652,"safe","0"
1,2,595,"CHD",1,8,"M",1,"NEW",1,336,"Middle",0.358695652,0.942857143,"S",0,0.575757575757576,0.157894736842105,0.0909090909090909,"safe","0"
0,2,557,"CHD",0,8,"O",0,"EXISTING",0,160,"Elementary",0.1175,0.959183673,"S-M",1,0.48936170212766,0.0869565217391304,0.0425531914893617,"large","0"
0,2,732,"Private non-Christian",1,8,"Q",1,"EXISTING",1,231,"Elementary",0.109230769,0.959459459,"M-L",1,0.450704225352113,0.03125,0.028169014084507,"large","0"
0,2,610,"PUBLIC",0,8,"",1,"EXISTING",0,265,"Elementary",0.028108108,0.75,"",1,0,NA,0,"small","0"
0,4,1658,"PUBLIC",1,8,"L",0,"EXISTING",1,192,"Middle",0.011724138,0.944444444,"L",1,0.705882352941177,0.25,0.117647058823529,"critical","0"
0,2,399,"Private non-Christian",0,2,"Q",1,"EXISTING",0,227,"Elementary",0.311594203,0.977272727,"S",1,0,NA,0.0465116279069767,"large","0"
0,2,599,"Private non-Christian",0,12,"Q",0,"NEW",0,276,"Middle",0.077777778,0.875,"S",1,0.714285714285714,0,0,"small","0"
1,3,1334,"PUBLIC",1,8,"M",0,"EXISTING",1,219,"Middle",0.03560529,0.897435897,"L",0,0.542857142857143,0.315789473684211,0.257142857142857,"safe","0"
0,4,750,"PUBLIC",1,8,"P",0,"EXISTING",1,233,"Middle",0.159235669,0.909090909,"M-L",1,0.34,0.176470588235294,0.12,"large","1"
0,3,747,"PUBLIC",1,8,"O",0,"EXISTING",1,231,"Middle",0.224108659,0.936170213,"M-L",1,0.446969696969697,0.0508474576271186,0.0227272727272727,"large","0"
0,8,2599,"CHD",1,8,"Q",1,"EXISTING",1,218,"Middle",0.358695652,0.942857143,"S-M",1,0.490909090909091,0.0617283950617284,0.0363636363636364,"large","0"
